Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
Sunshine Gateway Solar Energy Center,2,Batteries,75,30,30,LIB,30,CS,,Y,2022
Pacific Union College BESS,12649,Batteries,2,1,1,LIB,1,CS,Y,,2022
AES ES GILBERT,SRP,Batteries,40,10,10,LIB,10,BL,Y,,2022
"Stryker 22, L.L.C.",EDGRD,Batteries,19.8,19.8,19.8,LIB,19.8,CS,,,2022
Plumsted 537 LLC,PLMST,Batteries,19.8,19.8,19.8,LIB,19.8,CS,,,2022
Redstone Arsenal Hybrid,BA,Batteries,2,0.5,0.5,LIB,1,CS,Y,N,2022
Parkview Battery,PKVWB,Batteries,1,1.1,1.1,LIB,1.1,CS,,Y,2022
Punkin Center Battery Storage,B1,Batteries,8,2,2,LIB,2.2,CS,,,2022
ACUA,VACUA,Batteries,1,1,1,LIB,1,CS,,,2022
Casa Mesa Wind Energy Center Hybrid,CMNMB,Batteries,1,1,1,LIB,12.5,CS,,Y,2022
MCRD Parris Island PV Hybrid,TBESS,Batteries,8,4,4,LIB,4,CS,,Y,2022
TAC-Distributed Energy Resource Hybrid,BA,Batteries,0.5,0.3,0.3,LIB,0.3,CT,N,,2022
Gavilan Community College Solar Project,GDCBA,Batteries,0.5,0.2,0.3,LIB,0.3,CS,,Y,2022
UC Merced Solar Hybrid,UCMBA,Batteries,0.9,0.5,0.5,LIB,0.5,CS,N,Y,2022
Caldwell Wastewater Treatment Plant Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,0.5,OT,,Y,2022
KCE NY 1,KNY1,Batteries,8.4,20,20,LIB,6.5,CS,,,2022
Diablo Energy Storage,DIBLO,Batteries,800,200,200,LIB,66,CS,Y,,2022
Ashburnham Energy Storage Project,AMLPB,Batteries,3,3,3,LIB,3,CT,,,2022
Station 9 Energy Storage System,ESS1,Batteries,4.2,2,2,LIB,2,CS,,,2022
I25 Battery Storage,I25BA,Batteries,16,4,4,LIB,0.4,CS,,,2022
GMP Solar/Storage-Milton Hybrid,GMPBM,Batteries,8,2,2,LIB,2,OT,,Y,2022
GMP Solar/Storage-Ferrisburgh Hybrid,GMPBF,Batteries,8,2,2,LIB,2,OT,,Y,2022
GMP Solar/Storage-Essex Hybrid,GMPBE,Batteries,8,2,2,LIB,2,OT,,Y,2022
Kearny Mesa Storage LLC,U1,Batteries,1,1,1,LIB,1,CS,,,2022
Meyersdale Battery,BMY,Batteries,12.1,18,18,LIB,18,CT,,,2022
DESI-2 Battery Storage Facility,DESI2,Batteries,3.7,1.4,1.4,LIB,1.4,CS,,,2022
Echo River Solar,2,Batteries,75,30,30,LIB,30,CS,,Y,2022
Orange County Energy Storage 2,OCES2,Batteries,36,9,9,LIB,9,CS,Y,,2022
Orange County Energy Storage 3,OCES3,Batteries,24,6,6,LIB,6,CS,Y,,2022
Elkhorn Battery Energy Storage System,ELKHO,Batteries,730,182.5,182.5,LIB,60,CS,Y,,2022
Knoxville Battery Energy Storage,ES1,Batteries,4,1.1,1.1,LIB,1.1,CS,Y,,2022
Beebe Substation Battery Storage,WAKFD,Batteries,3,3,3,LIB,3,CT,,,2022
Outer Cape Community Battery,OCESS,Batteries,38,10,25,LIB,16.5,BL,,,2022
Commerce ESS,BA1,Batteries,10,10,10,LIB,10,CS,Y,Y,2022
Searcy Solar Hybrid,SEABT,Batteries,30,10,10,LIB,7.8,CS,,Y,2022
Minuteman Energy Storage,MMES,Batteries,10,5,5,LIB,5,CS,,,2022
Happy Hollow CSG Hybrid,HHESS,Batteries,6.6,3.3,3.3,LIB,3.3,CS,N,Y,2022
Noland Wastewater Treatment Plant Hybrid,FAYEB,Batteries,13.1,6,6,LIB,6,BL,,,2022
Westside Wastewater Treatment Plant Hybrid,FAYWB,Batteries,13.1,6,6,LIB,6,BL,,,2022
CED Northampton Solar LLC Hybrid,NSES,Batteries,4.9,2,2,LIB,2,CS,,,2022
Eyak Service Center BESS,BESS1,Batteries,0.9,1,1,LIB,0.8,CS,,,2022
East Hampton Energy Storage Center,BEH,Batteries,40,5,5,LIB,5,BL,Y,,2022
Montauk Energy Storage Center,BME,Batteries,40,5,5,LIB,0.7,BL,,,2022
Wheatridge Hybrid,BTRY,Batteries,120,30,30,LIB,30,CS,,Y,2022
Prospect Storage,BESS,Batteries,10,9.9,9.9,LIB,3.3,CS,Y,,2022
San Diego International Airport BESS,BA,Batteries,4,2,2,LIB,2,CS,Y,,2022
Vallecito,ORN34,Batteries,10,10,10,LIB,10,CS,,,2022
Acushnet Ball Plant 2,ESS-1,Batteries,2,1,1,LIB,1,CS,,,2022
Acushnet Ball Plant 2,ESS-2,Batteries,1,0.5,0.5,LIB,0.5,CS,,,2022
98th Street Battery Storage Station,ESS98,Batteries,12,1,2,LIB,2,CS,,,2022
Marengo Battery Storage LLC,MBSS,Batteries,20,20,20,LIB,23.4,CS,,,2022
Nabb Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2022
Acorn I Energy Storage LLC,ACOR1,Batteries,6,2,2,LIB,3,CS,Y,,2022
Wildcat I Energy Storage LLC,WILD1,Batteries,12,3,3,LIB,3,CS,Y,,2022
Hecate Energy Johanna Facility,HEGJF,Batteries,40,10,10,LIB,0.5,CS,Y,,2022
Hecate Energy Johanna Facility,HJFII,Batteries,40,10,10,LIB,0.5,CS,Y,,2022
Hinesburg,VEC,Batteries,1.9,1.9,1.9,LIB,1.9,CS,,,2022
Anoka BESS,BA,Batteries,12,6,6,LIB,4.9,CS,,Y,2022
Athens BESS,BA,Batteries,12,6,6,LIB,4.9,CS,,Y,2022
Syncarpha Tewksbury Hybrid CSG,SYTKB,Batteries,4,2,2,LIB,0.6,CT,Y,Y,2022
Syncarpha Puddon I Hybrid CSG,SYP1B,Batteries,8,4,4,LIB,1.2,CT,Y,Y,2022
Syncarpha Puddon II Hybrid CSG,SYP2B,Batteries,8,4,4,LIB,1.2,CT,Y,Y,2022
Syncarpha Leicester Hybrid CSG,SYLEB,Batteries,4.2,2,2,NIB,1.2,CT,Y,Y,2022
Syncarpha Halifax Hybrid CSG,SYHAB,Batteries,3.2,1.6,1.6,NIB,1,CT,Y,Y,2022
Syncarpha Blandford Hybrid CSG,SYBLB,Batteries,7.9,3.9,3.9,NIB,2.3,CT,Y,Y,2022
Syncarpha Northampton Hybrid CSG,SYNOB,Batteries,4,2,2,LIB,0.6,CT,Y,Y,2022
Syncarpha Northbridge I Hybrid(CSG),SYN1B,Batteries,8,4,4,LIB,1.2,CT,Y,Y,2022
Syncarpha Northbridge II Hybrid CSG,SYN2B,Batteries,6,3,3,LIB,0.9,CT,Y,Y,2022
East Pulaski BESS,BESS,Batteries,4.2,2,2,LIB,0.6,CS,,,2022
"Finchville Solar, LLC Hybrid CSG",BESS,Batteries,4.4,1.9,1.9,LIB,0.9,CT,,Y,2022
"RT 52 Walden Solar 1, LLC Hybrid",BESS,Batteries,8.8,3.9,3.9,LIB,0.9,CT,,Y,2022
"Cronin Road Solar 1, LLC CSG Hybrid",BESS,Batteries,7.7,1.5,1.5,LIB,0.9,CT,,Y,2022
Fort Carson Battery Energy Storage System,1,Batteries,8.5,4.2,4.2,LIB,1.4,CS,,,2022
Ryan Road Solar LLC Hybrid(CSG),BESS,Batteries,14,4.3,4.3,LIB,0.9,CT,,Y,2022
Asheville-Rock Hill Battery,ES1,Batteries,8.8,8.8,8.8,LIB,8.8,CS,Y,,2022
Athens - Coopers Corner BESS,COOPR,Batteries,6,3,3,LIB,4.9,CS,,Y,2022
UC Santa Cruz Solar,18027,Batteries,1,1,1,LIB,0,CS,N,Y,2022
Imeson Solar,IMESS,Batteries,3.8,1.5,1.5,LIB,4,CS,,,2022
Middleton Solar Park,MDB02,Batteries,6.6,3,2.7,LIB,0.2,CS,,Y,2022
2W Permian Solar Project Hybrid,2WPBA,Batteries,40,40,40,LIB,13.1,BL,Y,Y,2022
Partridge Hill Solar Hybrid,BATT,Batteries,1.5,1.3,1.3,LIB,0.9,CS,,Y,2022
"AES Kekaha Solar, LLC Hybrid",BESS,Batteries,70,8,8,LIB,10,CT,,Y,2022
Camp Atterbury Microgrid Hybrid,ES1,Batteries,5,5,5,FLB,3.3,BL,,Y,2022
"Lansing Renewables, LLC",14320,Batteries,3,3,3,LIB,0,CT,,Y,2022
"Granby Solar, LLC CSG",4788,Batteries,2,2,2,LIB,0,CT,,Y,2022
"Owlville Creek Solar 2, LLC",20660,Batteries,12.8,3,3,LIB,0,CS,,Y,2022
"Owlville Creek Solar, LLC",20660,Batteries,12.8,3,3,LIB,0,CS,,Y,2022
Kearsarge Amesbury Hybrid,AMBAT,Batteries,3.8,1.5,1.5,LIB,1.6,CS,,Y,2022
"Middletown Solar 1, LLC Hybrid CSG",BATT,Batteries,6.6,1.6,1.6,LIB,0.9,CS,,Y,2022
Fresno Bullard High School Hybrid,BA903,Batteries,0.4,0.4,0.4,LIB,0,CS,,Y,2022
Fresno Hoover High School Hybrid,BA291,Batteries,0.2,0.2,0.2,LIB,0,CS,,Y,2022
Fresno Sunnyside High School Hybrid,BA112,Batteries,0.3,0.3,0.3,LIB,0,CS,,Y,2022
Rush Springs Energy Storage (BA),RUSHE,Batteries,20,10,10,FLB,10,CS,Y,,2022
Hurteau Solar Project Hybrid,BATT,Batteries,1.5,1.3,1.3,LIB,0.9,CS,,Y,2022
Alicea Solar Project Hybrid CSG,BATT,Batteries,3,1.5,1.5,LIB,0.9,CS,,Y,2022
McDougle-Mitchell Solar Project Hybrid CSG,BATT,Batteries,5.7,2.9,2.9,LIB,0.9,CS,,Y,2022
Cycz Solar Project CSG Hybrid,BATT,Batteries,2.5,1.3,1.3,LIB,0.9,CS,,Y,2022
West A&B Solar Project Hybrid CSG,BATT,Batteries,3.5,1.8,1.8,LIB,0.9,CS,,Y,2022
Annese Solar Project Hybrid CSG,BATT,Batteries,6.7,3.5,3.5,LIB,0.9,CS,,Y,2022
Randall Solar Project Hybrid,BATT,Batteries,6,3.2,3.2,LIB,0.9,CT,,Y,2022
D'Arrigo Brothers - Phase 4,DA04B,Batteries,0.8,0.1,0.1,LIB,0.1,CS,,,2022
Walnut Unified School District Walnut HS Hybrid,ST1,Batteries,0.5,0.1,0.1,LIB,0.1,CS,,Y,2022
Hickory Park Solar Hybrid,HPBAT,Batteries,80,42,42,LIB,240,OT,,Y,2022
Solar BESS Hybrid,TEST,Batteries,4,1,1,LIB,1,BL,,,2022
NY3 Battery,NY3,Batteries,12,3,3,LIB,3,CS,,,2022
Allergan,ALRGN,Batteries,9,1.5,1.5,LIB,1.5,OT,Y,,2022
Baker,BAKER,Batteries,6.3,1.2,1.2,LIB,1.2,OT,Y,,2022
CSU Long Beach,CSULB,Batteries,15,2.5,2.5,LIB,2.5,OT,Y,,2022
DATS,DATS0,Batteries,6,1,1,LIB,1,OT,Y,,2022
Downey,DOWNY,Batteries,13,2,2,LIB,2,OT,Y,,2022
LAWRP,LAWRP,Batteries,5,1,1,LIB,1,OT,Y,,2022
Long Beach Convention Center,LBCON,Batteries,8.6,1.5,1.5,LIB,1.5,OT,Y,,2022
OCSD,OCSD1,Batteries,32.6,4.9,4.9,LIB,4.9,OT,Y,,2022
SOCCD,SOCCD,Batteries,7.2,1.3,1.3,LIB,1.3,OT,Y,,2022
Luna Storage,LUNA,Batteries,400,100,100,LIB,0.9,CT,,N,2022
Cool Springs Solar (Hybrid),CSBAT,Batteries,80,40,40,LIB,72.4,CS,,Y,2022
Rawhide Prairie Solar Hybrid,BA1,Batteries,2,1,1,LIB,1,CS,,Y,2022
Slate Hybrid,SLB3C,Batteries,135,33.8,33.8,LIB,11.1,CS,,Y,2022
Slate Hybrid,SLBES,Batteries,200,50,50,LIB,16.4,CS,,Y,2022
Slate Hybrid,SLBPW,Batteries,40,10,10,LIB,3.3,CS,,Y,2022
Slate Hybrid,SLBSV,Batteries,186,46.5,46.5,LIB,15.2,CS,,Y,2022
Taos Mesa Energy Facility Hybrid,BESS,Batteries,25,12,12,LIB,5,CS,,Y,2022
Silverstrand Grid Energy Storage System,SLV01,Batteries,44,11,11,LIB,3.6,CS,Y,,2022
Chisholm Grid Energy Storage System,CHS01,Batteries,125,100,100,LIB,33,CS,Y,,2022
CES Agawam Tuckahoe Solar Hybrid,ATES,Batteries,5.2,2.6,2.6,LIB,0.1,CS,,Y,2022
Mount Kisco Landfill Solar & Storage CSG,KISCB,Batteries,2.1,0.5,0.7,LIB,0.5,CS,,Y,2022
Tech Square Microgrid,BESS1,Batteries,0.4,0.2,0.2,LIB,0,BL,,,2022
Partridgeville Hybrid CSG,PBESS,Batteries,3.9,2,2,LIB,2,CS,,Y,2022
Williamsville Hybrid CSG,WBESS,Batteries,6.7,3.3,3.3,LIB,2.3,CS,,Y,2022
Gateway Energy Storage System,GTWAY,Batteries,250,250,250,LIB,69.6,BL,Y,,2022
"Johanna Energy Center, LLC",SASP1,Batteries,20,20,20,LIB,27.5,CT,,,2022
Saticoy,SATCY,Batteries,400,100,100,LIB,70,CS,Y,,2022
Lily Solar Hybrid,LILYB,Batteries,76,50,50,LIB,20,CS,,Y,2022
Azure Sky Solar,ASKYB,Batteries,77.6,77.6,77.6,LIB,44.7,CS,,Y,2022
Dodge Flat,DODGB,Batteries,200,50,50,LIB,16.4,CS,,Y,2022
Cal Flats BESS,CF60,Batteries,242,60,60,LIB,66.5,CS,Y,N,2022
Coso Battery Storage,61730,Batteries,240,60,60,LIB,20,CS,Y,,2022
Trenton,ES1,Batteries,10.1,11,11,LIB,1.7,CS,,,2022
Cape San Blas,ES1,Batteries,14.3,5.5,5.5,LIB,0,CS,,,2022
Jennings Energy Storage Facility,ES1,Batteries,5.5,5.5,5.5,LIB,0,CS,,,2022
Micanopy Energy Storage Facility,ES1,Batteries,11.7,8.3,8.3,LIB,0,CS,,,2022
Amaterasu LLC,BESS,Batteries,6,3.2,3.2,LIB,0.9,CT,,Y,2022
Blanchard Road 1 Community Solar,BR1S,Batteries,15,3.8,3.8,LIB,3.8,CS,,Y,2022
Blanchard Road 2 Community Solar,BR2S,Batteries,15,3.8,3.8,LIB,3.8,CS,,Y,2022
NYS Rte 12 Community Solar,NR12S,Batteries,15,3.8,3.8,LIB,3.8,CS,,Y,2022
Great Lakes Seaway Community Solar,GLSS,Batteries,15,3.8,3.8,LIB,3.8,CS,,Y,2022
Desert Harvest II LLC,DH003,Batteries,140,35,35,LIB,11.5,CS,Y,N,2022
"Maverick Solar 6, LLC",MAV04,Batteries,200,50,50,LIB,16.5,CS,Y,Y,2022
