Utility ID,Utility Name,Street Address,City,State,Zip,Entity Type,time
7,"Primary Products Ingredients Americas, LLC",2200 East Eldorado Street,Decatur,IL,62525,IND,2021
8,Tate & Lyle Ingredients Americas Inc,2245 Sagamore Parkway North,Lafayette,IN,47904,IND,2021
25,Greenidge Generation Holdings LLC,PO Box 187590 Plant Rd,Dresden,NY,14441,Q,2021
34,City of Abbeville - (SC),P O Box 639,Abbeville,SC,29620,M,2021
35,AES WR Ltd Partnership,11600 Mexico Farms Road,Cumberland,MD,21502,Q,2021
84,A & N Electric Coop,PO Box 29021275 Cooperative Wa,Tasley,VA,23441,C,2021
88,Granite Ridge Energy LLC,21 North Wentworth Ave,Londonderry,NH,3053,Q,2021
135,Agrilectric Power Partners Ltd,"3063 Hwy, 397 South",Lake Charles,LA,90615,Q,2021
150,Adrian Public Utilities Comm,P O Box 187,Adrian,MN,56110,M,2021
164,AERA Energy LLC,P O Box 11164,Bakersfield,CA,93389,IND,2021
177,AES Hawaii LLC,91-086 Kaomi Loop,Kapolei,HI,96707,I,2021
178,CES Placerita Inc,20885 Placerita Canyon Rd,Newhall,CA,91321,Q,2021
179,Agrium US Inc,Suite 17004582 South Ulster St,Denver,CO,80237,IND,2021
189,PowerSouth Energy Cooperative,2027 E Three Notch St,Andalusia,AL,36421,C,2021
194,Albuquerque City of,4201 Second Street SW,Albuquerque,NM,87105,P,2021
195,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,I,2021
213,Alaska Electric Light & Power Co.,5601 Tonsgard Court,Juneau,AK,99801,I,2021
219,Alaska Power and Telephone Co,PO Box 3222,Pt. Townsend,WA,98368,I,2021
221,"Alaska Village Elec Coop, Inc",4831 Eagle Street,Anchorage,AK,99503,C,2021
222,City of Akron,2460 Akron Peninsula Rd,Akron,OH,44313,M,2021
241,Albertville Municipal Utilities Board,P O Box 130,Albertville,AL,35950,M,2021
261,AGC Division of APGI Inc,201 Isabella Street 6NE17,Pittsburgh,PA,15212,I,2021
291,Algonquin Windsor Locks LLC,26 Canal Bank,Windsor Locks,CT,6096,Q,2021
295,City of Alexandria - (MN),316 Fillmore Street,Alexandria,MN,56308,M,2021
298,City of Alexandria - (LA),1011 North Third Street,Alexandria,LA,71309,M,2021
306,Brookfield Smoky Mountain Hydropower LP,200 Donald Lynch Blvd,Marlborough,MA,1752,Q,2021
309,City of Algona - (IA),PO Box 10104 West Call Street,Algona,IA,50511,M,2021
313,"Wolf Hollow I Power, LLC",9201 Wolf Hollow Court,Granbury,TX,76048,Q,2021
327,Air Liquide Large Industries U S LP,11777 Bay Area Blvd,Pasadena,TX,77507,IND,2021
332,Allegheny Electric Coop Inc,P O Box 1266212 Locust Street,Harrisburg,PA,17108,C,2021
361,Industrial Energy Applications Inc,"2050 Boyson Road, Suite 100",Hiawatha,IA,52233,Q,2021
405,City of Alta - (IA),223 Main Street,Alta,IA,51002,M,2021
406,City of Altamont - (IL),202 North Second Street,Altamont,IL,62411,M,2021
429,Occidental Permian Ltd,"5 Greenway Plaza, Suite 110",Houston,TX,77046,IND,2021
450,The Amalgamated Sugar Co,2320 Orchard Drive East,Twin Falls,ID,83301,C,2021
463,Ameresco LFG I Inc,91 Hartley Road,Goshen,NY,10924,Q,2021
470,Covanta Energy of Niagara LP,100 Energy Blvd @ 56th St,Niagara Falls,NY,14304,Q,2021
471,Amana Society Service Co,P O Box 186,Amana,IA,52203,I,2021
472,Amedee Gethrm Venture I LP,P O Box 12219,Zephyr Cove,NV,89448,Q,2021
473,Covanta Hempstead Company,600 Merchants Concourse,Westbury,NY,11590,Q,2021
491,American Crystal Sugar Co,101 North 3rd Street,Moorhead,MN,56560,C,2021
503,American Hydro Power Company,601 S. Henderson Road,King of Prussia,PA,19406,Q,2021
520,Illinois Power Generating Co,1500 Eastport Plaza,Collinsville,IL,62234,Q,2021
528,Covanta Southeastern Connecticut Company,132 US Submarine Vet Mem Hwy,Preston,CT,6365,IND,2021
542,Covanta Essex Company,183 Raymond Blvd,Newark,NJ,7105,Q,2021
547,American Sugar Refining Inc.,7417 North Peters Street,Arabi,LA,70032,IND,2021
554,City of Ames - (IA),"502 Carroll Avenue, P.O. Box 8",Ames,IA,50010,M,2021
563,American Bituminous Power LP,PO Box 159,Grant Town,WV,26574,Q,2021
570,Covanta Delaware Valley LP,10 Highland Avenue,Chester,PA,19013,I,2021
590,City of Anaheim - (CA),"201 S. Anaheim Blvd, 1101",Anaheim,CA,92805,M,2021
623,Anheuser-Busch Inc,One Busch Place,St Louis,MO,63118,IND,2021
641,ANP Bellingham Energy Company LLC,155 Maple Street,Bellingham,MA,2019,Q,2021
656,ANP Blackstone Energy Company LLC,204 Elm Street,Blackstone,MA,2184,Q,2021
682,City of Anita - (IA),P O Box 426828 Main Street,Anita,IA,50020,M,2021
689,Connexus Energy,14601 Ramsey Boulevard,Ramsey,MN,55303,C,2021
694,Anza Electric Coop Inc,58470 Hwy 371,Anza,CA,92539,C,2021
695,City of Ansley - (NE),P.O. Box 307909 Division St.,Ansley,NE,68814,M,2021
701,City of Anthony - (KS),P O Box 504,Anthony,KS,67003,M,2021
733,Appalachian Power Co,"1 Riverside Plaza, 26th Floor",Columbus,OH,43215,I,2021
744,Appleton Coated LLC,540 Prospect Street,Combined Locks,WI,54113,IND,2021
756,Appomattox River Associates LP,"37 Alfred A. Plourde Parkway,",Lewiston,ME,4240,Q,2021
765,City of Arcadia - (WI),115  S Jackson St,Arcadia,WI,54612,M,2021
768,City of Arcanum - (OH),309 S. Albright St. PO Box 398,Arcanum,OH,45304,M,2021
772,Archer Daniels Midland Co,4666 Faries Pkwy,Decatur,IL,62525,IND,2021
792,City of Argyle - (WI),P O Box 246,Argyle,WI,53504,M,2021
